TransactionID	CustomerID	Product	Quantity	UnitPrice	TotalPrice	TransactionDate	City
89	CUST03631	Python for Data Engineers	6	289.99	1739.94	2024-09-06	Phoenix
90	CUST06972	Kafka Streaming Intro	5	399.00	1995.00	2024-12-04	San Diego
91	CUST01977	Kafka Streaming Intro	2	399.00	798.00	2024-11-19	Denver
92	CUST04531	Kafka Streaming Intro	5	399.00	1995.00	21-06-2025	New York
93	CUST05913	Hadoop Basics	3	63.01	189.03	15-01-2024	Austin
94	CUST04787	Kafka Streaming Intro	2	399.00		10/15/2025	Minneapolis
95	CUST04659	AWS Foundations	4	310.45	1241.80	2025-03-27	Seattle
96	CUST01870	Data Governance 101	1	220.10	220.10	2025-02-14	Seattle
97	CUST04979	Big Data Essentials	2	421.85	843.70	01-05-2024	Philadelphia
98	CUST03698	Airflow Fundamentals	5	265.75	1328.75	2025-01-24	San Diego
99	CUST07026	SQL for Analysts	5	149.00	745.00	2025-09-27	New York
100	CUST03458	SQL for Analysts	6	149.00	894.00	2024-03-24	Denver
101	CUST06694	AWS Foundations	6	310.45	1862.70	2025-08-31	Seattle
102	CUST07439	Big Data Essentials	6	421.85	2531.10	08/27/2024	Miami
103	CUST02442	GenAI for Engineers	3	349.50	1048.50	2024-05-25	Denver
104	CUST04729	AWS Foundations	1	310.45	310.45	24-04-2025	Dallas
105	CUST08091	AWS Foundations	1	310.45	310.45	2025-09-04	Philadelphia
106	CUST00424	Big Data Essentials	2	421.85	843.70	11/21/2025	Houston
107	CUST04416	Data Modeling Basics	1	178.25	178.25	2024-06-28	San Diego
108	CUST07142	NoSQL Essentials	4	199.99	799.96	2024-04-03	Philadelphia
109	CUST02635	Data Warehousing 101	4	275.30	1101.20	2025-12-11	Dallas
110	CUST07452	Big Data Essentials	3	421.85	1265.55	2024-09-15	Dallas
111	CUST00019	NoSQL Essentials	5	199.99	999.95	2025-04-18	Miami
112	CUST08168	NoSQL Essentials	4	199.99	799.96	2024-02-22	Austin
113	CUST07942	Big Data Essentials	1	421.85	421.85	07-10-2025	Boston
114	CUST00225	ETL Pipelines 101	4	245.60		2024-04-05	New York
115	CUST02523	AWS Foundations	6	310.45	1862.70	2024-10-25	Portland
116	CUST07737	Cloud Fundamentals	4	199.50	798.00	2025-07-18	Miami
117	CUST02237	Data Governance 101	1	220.10	220.10	10/09/2024	Philadelphia
118	CUST04378	Data Governance 101	1	220.10	220.10	16-10-2024	Minneapolis
119	CUST07936	Data Warehousing 101	3	275.30	825.90	07/19/2025	Dallas
120	CUST03091	Kafka Streaming Intro	2	399.00	798.00	2025-08-08	Philadelphia
121	CUST06247	Python for Data Engineers	6	289.99		2025/10/29	Minneapolis
122	CUST05440	Data Governance 101		220.10		2025-03-26	San Diego
123	CUST02530	Big Data Essentials	4	421.85	1687.40	2024-09-28	Dallas
124	CUST08743	Python for Data Engineers	3	289.99		03-10-2025	Minneapolis
125	CUST01122	Cloud Fundamentals	6	199.50	1197.00	12/01/2025	Boston
126	CUST01613	Airflow Fundamentals	6	265.75	1594.50	12/21/2025	San Diego
127	CUST00475	Spark Intro	3	356.94	1070.82	2024-02-27	Phoenix
128	CUST06752	Data Modeling Basics	6	178.25	1069.50	2024-07-03	San Francisco
129	CUST03946	AWS Foundations	5	310.45	1552.25	2024-05-26	Portland
130	CUST07623	GenAI for Engineers	3	349.50	1048.50	2025-11-24	San Francisco
131	CUST04902	NoSQL Essentials	4	199.99	799.96	2025-12-07	Chicago
132	CUST07917	Big Data Essentials	2	421.85	843.70	25-01-2025	Chicago
133	CUST06485	SQL for Analysts	1	149.00	149.00	08/02/2025	Seattle
134	CUST04690	Airflow Fundamentals	2	265.75	531.50	09/13/2025	Boston
135	CUST02241	NoSQL Essentials	1	199.99		04-10-2025	Chicago
136	CUST05978	Kafka Streaming Intro	2	399.00	798.00	04/02/2024	Atlanta
137	CUST02166	Airflow Fundamentals	5	265.75	1328.75	2025-01-09	Portland
138	CUST07895	Airflow Fundamentals	3	265.75		12/12/2024	San Diego
139	CUST03697	Data Governance 101	6	220.10	1320.60	2025/11/21	Phoenix
140	CUST04333	ETL Pipelines 101	1	245.60	245.60	2025-04-10	Portland
141	CUST06087	Big Data Essentials	6	421.85	2531.10	2024-08-27	Atlanta
142	CUST01036	NoSQL Essentials	4	199.99		2025-12-18	Philadelphia
143	CUST00610	SQL for Analysts	4	149.00	596.00	2024-04-28	Austin
144	CUST08851	Python for Data Engineers	5	289.99	1449.95	06/07/2024	New York
145	CUST04584	Spark Intro	6	356.94	2141.64	2025-01-14	San Diego
100005	CUST04584	Spark Intro	6	356.94	2141.64	2025-01-14	San Diego
146	CUST01628	NoSQL Essentials	3	199.99	599.97	07/11/2025	Phoenix
147	CUST02002	Data Governance 101	4	220.10	880.40	03-04-2024	Houston
148	CUST02064	Airflow Fundamentals	5	265.75	1328.75	2024-07-29	Miami
149	CUST03818	Data Warehousing 101	2	275.30	550.60	2025-09-02	Austin
150	CUST02859	Big Data Essentials	6	421.85	2531.10	2024-01-27	Phoenix
151	CUST05305	Spark Intro	2	356.94	713.88	2024-09-28	Philadelphia
152	CUST07803	AWS Foundations	3	310.45	931.35	09-06-2025	San Diego
153	CUST00711	Kafka Streaming Intro	6	399.00	2394.00	2025-06-17	Houston
154	CUST06581	Python for Data Engineers	6	289.99		2024-04-20	San Diego
155	CUST02431	Big Data Essentials	2	421.85	843.70	08-10-2024	Atlanta
156	CUST04832	AWS Foundations	5	310.45	1552.25	2025-09-11	New York
157	CUST03523	Python for Data Engineers	4	289.99	1159.96	2024-08-21	San Diego
158	CUST05121	Python for Data Engineers	3	289.99	869.97	2025-11-12	Austin
159	CUST01495	Data Governance 101	1	220.10	220.10	2024-04-05	Phoenix
160	CUST05401	NoSQL Essentials	1	199.99	199.99	2025-02-24	Philadelphia
161	CUST04713	Data Modeling Basics	3	178.25	534.75	2024-12-26	Miami
162	CUST01774	Data Warehousing 101	5	275.30	1376.50	2025-01-11	Portland
163	CUST00431	Data Modeling Basics	6	178.25	1069.50	2025-12-11	Denver
164	CUST05568	Data Warehousing 101	1	275.30	275.30	07/04/2024	Dallas
165	CUST00503	Big Data Essentials	6	421.85	2531.10	2025-06-27	Philadelphia
166	CUST05106	Kafka Streaming Intro	3	399.00	1197.00	04-08-2025	Seattle
167	CUST00816	NoSQL Essentials	1	199.99	199.99	2024-10-05	Philadelphia
168	CUST04476	Cloud Fundamentals	5	199.50	997.50	2024-04-26	New York
169	CUST07973	ETL Pipelines 101	6	245.60		2024-11-11	Dallas
170	CUST03350	SQL for Analysts	2	149.00		05/20/2024	Chicago
171	CUST07056	Hadoop Basics	2	63.01	126.02	2025-01-24	Boston
172	CUST05803	Big Data Essentials	4	421.85	1687.40	2024-02-13	San Diego
173	CUST07034	Data Modeling Basics	4	178.25		27-12-2025	Chicago
174	CUST05322	Hadoop Basics	5	63.01	315.05	04/16/2025	Phoenix
175	CUST03987	Python for Data Engineers	5	289.99	1449.95	2025-02-14	Dallas
176	CUST03631	Data Warehousing 101	2	275.30	550.60	2024-03-19	New York
177	CUST05725	Data Warehousing 101	6	275.30	1651.80	10/22/2025	Boston
178	CUST02843	Data Modeling Basics	2	178.25	356.50	2025-11-02	Minneapolis
179	CUST07355	NoSQL Essentials	5	199.99	999.95	20-10-2025	Atlanta
180	CUST02474	AWS Foundations	1	310.45	310.45	2025-04-25	Chicago
181	CUST05767	ETL Pipelines 101	1	245.60	245.60	2024-11-13	Seattle
182	CUST01258	NoSQL Essentials	1	199.99	199.99	21-09-2025	Dallas
183	CUST00673	AWS Foundations	5	310.45	1552.25	2025-10-29	Minneapolis
184	CUST07382	Big Data Essentials		421.85		2024-03-27	Denver
185	CUST07200	ETL Pipelines 101	5	245.60	1228.00	2025-09-16	Phoenix
186	CUST05544	NoSQL Essentials	5	199.99		02/23/2024	Atlanta
187	CUST06334	SQL for Analysts	3	149.00	447.00	2025/11/03	Austin
188	CUST02318	GenAI for Engineers	3	349.50	1048.50	2024/11/13	Dallas
189	CUST01389	SQL for Analysts	5	149.00	745.00	20-01-2025	Atlanta
190	CUST08625	Big Data Essentials		421.85		2025-11-17	Phoenix
191	CUST03510	Data Warehousing 101	4	275.30	1101.20	2024-07-15	Austin
192	CUST01658	ETL Pipelines 101	5	245.60	1228.00	2025-06-23	Atlanta
193	CUST06173	Hadoop Basics	2	63.01		07/04/2024	Denver
194	CUST05969	NoSQL Essentials	6	199.99	1199.94	2024/08/31	Chicago
195	CUST03834	ETL Pipelines 101	2	245.60	491.20	2024/11/12	Minneapolis
196	CUST07219	AWS Foundations	3	310.45	931.35	2025-01-26	Philadelphia
197	CUST02268	Data Governance 101	3	220.10		23-02-2024	Phoenix
198	CUST08453	Data Governance 101	1	220.10	220.10	2024-10-18	Denver
199	CUST02415	Data Governance 101	4	220.10	880.40	04/03/2024	Boston
200	CUST00437	Python for Data Engineers	1	289.99		2025-02-09	Boston
201	CUST03679	Spark Intro	3	356.94		04/11/2024	Atlanta
202	CUST04701	GenAI for Engineers	4	349.50		12/13/2025	Minneapolis
203	CUST01299	Spark Intro	3	356.94	1070.82	08/08/2024	Philadelphia
204	CUST04935	Big Data Essentials	1	421.85	421.85	2024-09-01	San Diego
205	CUST08190	Data Modeling Basics	5	178.25	891.25	17-01-2024	Boston
206	CUST00026	Data Modeling Basics	3	178.25		03-09-2024	Denver
207	CUST05909	Big Data Essentials	5	421.85	2109.25	2025-07-11	Houston
208	CUST06339	Data Warehousing 101	3	275.30	825.90	2024-01-17	San Francisco
209	CUST01699	Airflow Fundamentals	5	265.75	1328.75	2024-12-06	Phoenix
210	CUST02869	Data Governance 101	6	220.10	1320.60	2025/04/20	Minneapolis
211	CUST01034	Kafka Streaming Intro	4	399.00	1596.00	2024-02-07	Seattle
212	CUST05171	GenAI for Engineers	3	349.50	1048.50	2025-06-11	Minneapolis
213	CUST03132	SQL for Analysts	3	149.00	447.00	02/18/2024	Atlanta
214	CUST07160	GenAI for Engineers	4	349.50	1398.00	03/26/2025	Dallas
215	CUST08152	Data Warehousing 101	5	275.30	1376.50	09/30/2024	Philadelphia
216	CUST02957	ETL Pipelines 101	3	245.60	736.80	2024-11-24	Atlanta
217	CUST06982	Hadoop Basics	6	63.01	378.06	2025-03-30	Seattle
218	CUST07127	SQL for Analysts	6	149.00	894.00	2024-02-28	Dallas
219	CUST02622	Spark Intro		356.94		14-09-2025	San Diego
220	CUST06002	Data Warehousing 101	4	275.30	1101.20	2025-08-03	Austin
221	CUST06096	AWS Foundations	1	310.45	310.45	2025-08-10	Phoenix
222	CUST04090	Big Data Essentials	1	421.85		2024-07-09	Dallas
223	CUST04265	Kafka Streaming Intro	4	399.00	1596.00	2024/08/07	Chicago
224	CUST03280	Big Data Essentials	2	421.85	843.70	2024-03-16	San Diego
225	CUST05237	NoSQL Essentials	3	199.99	599.97	2025-12-27	Chicago
226	CUST02853	Airflow Fundamentals	3	265.75	797.25	2025-06-04	Miami
227	CUST08095	Spark Intro	3	356.94	1070.82	21-07-2025	San Diego
228	CUST01413	Big Data Essentials	3	421.85	1265.55	2025/02/11	Minneapolis
229	CUST01209	Hadoop Basics	3	63.01	189.03	2025-10-19	San Diego
230	CUST02982	Airflow Fundamentals	2	265.75	531.50	2025-03-19	Seattle
231	CUST04983	Hadoop Basics	2	63.01	126.02	11/26/2024	Boston
232	CUST04654	Data Governance 101	1	220.10	220.10	2024-09-13	Portland
233	CUST08741	Big Data Essentials	5	421.85	2109.25	2025-10-18	Austin
234	CUST05532	Data Governance 101	5	220.10	1100.50	02/12/2024	Houston
235	CUST04337	NoSQL Essentials	2	199.99	399.98	2025-08-08	Houston
236	CUST04746	NoSQL Essentials	3	199.99		2025-05-09	Dallas
237	CUST00982	Hadoop Basics	4	63.01		2025-03-01	Miami
238	CUST05232	Kafka Streaming Intro	3	399.00		2025-02-12	Phoenix
239	CUST03961	AWS Foundations	1	310.45	310.45	2024-09-30	Austin
240	CUST06294	Data Governance 101	5	220.10	1100.50	2025-03-04	Denver
100006	CUST06294	Data Governance 101	5	220.10	1100.50	2025-03-04	Denver
241	CUST05124	Cloud Fundamentals	2	199.50	399.00	2025/05/25	San Diego
242	CUST00380	Big Data Essentials	4	421.85	1687.40	2025-06-01	Boston
243	CUST00829	SQL for Analysts	4	149.00		09/03/2025	Minneapolis
244	CUST01762	Python for Data Engineers	2	289.99	579.98	27-09-2024	Dallas
245	CUST03190	Data Warehousing 101	5	275.30	1376.50	2024-10-22	San Diego
246	CUST01947	Hadoop Basics	1	63.01	63.01	2025-02-07	Atlanta
247	CUST02364	Cloud Fundamentals	5	199.50		2025-06-05	Seattle
248	CUST05457	Airflow Fundamentals	4	265.75	1063.00	2025-06-15	Austin
249	CUST02663	Python for Data Engineers	5	289.99	1449.95	02-11-2024	Minneapolis
250	CUST00273	Data Warehousing 101	3	275.30	825.90	2025-11-20	Philadelphia
251	CUST00437	Data Modeling Basics	4	178.25	713.00	2024/09/28	Boston
252	CUST02794	ETL Pipelines 101	6	245.60	1473.60	09/26/2025	Dallas
253	CUST00518	Data Modeling Basics	6	178.25	1069.50	2024-04-22	San Diego
254	CUST03341	Python for Data Engineers	5	289.99	1449.95	09/18/2025	Seattle
255	CUST05326	NoSQL Essentials	4	199.99	799.96	2025-06-22	Denver
256	CUST08951	Data Warehousing 101	6	275.30	1651.80	28-11-2025	Portland
257	CUST04039	SQL for Analysts	5	149.00	745.00	2024-11-01	Chicago
258	CUST08012	Data Warehousing 101	4	275.30	1101.20	23-12-2024	Portland
100007	CUST08012	Data Warehousing 101	4	275.30	1101.20	23-12-2024	Portland
259	CUST08900	Python for Data Engineers	4	289.99	1159.96	2024/12/19	Austin
260	CUST01295	Data Warehousing 101	4	275.30	1101.20	2025-11-02	Minneapolis
261	CUST04443	GenAI for Engineers	5	349.50	1747.50	2025-12-13	New York
262	CUST03973	Spark Intro	6	356.94	2141.64	2025-06-27	Boston
263	CUST07740	Big Data Essentials	6	421.85	2531.10	2024-05-20	Denver
264	CUST07794	AWS Foundations	6	310.45	1862.70	07/23/2024	Chicago
265	CUST01466	NoSQL Essentials	5	199.99	999.95	2024-08-25	Seattle
266	CUST02881	GenAI for Engineers	1	349.50	349.50	02/10/2025	Denver
267	CUST04743	GenAI for Engineers	1	349.50	349.50	2024-01-10	New York
268	CUST07445	NoSQL Essentials	5	199.99	999.95	2025-06-20	Austin
269	CUST03160	Airflow Fundamentals	1	265.75	265.75	2024-12-04	San Diego
270	CUST00231	Kafka Streaming Intro	3	399.00	1197.00	29-10-2024	Miami
271	CUST06644	Data Governance 101	4	220.10	880.40	2025-06-11	Dallas
272	CUST02304	AWS Foundations	3	310.45	931.35	2024-09-11	Dallas
273	CUST05401	SQL for Analysts	5	149.00		2025-08-09	Phoenix
274	CUST01937	AWS Foundations	3	310.45	931.35	2024-06-12	Chicago
275	CUST04834	Data Warehousing 101	5	275.30	1376.50	2024-08-14	Austin
276	CUST06122	Python for Data Engineers	6	289.99	1739.94	07/16/2025	Miami
277	CUST01342	ETL Pipelines 101	4	245.60		24-06-2025	San Francisco
278	CUST08973	GenAI for Engineers	5	349.50	1747.50	26-07-2024	Austin
279	CUST07240	Big Data Essentials	6	421.85	2531.10	29-07-2024	Minneapolis
280	CUST00912	AWS Foundations	2	310.45	620.90	2025-06-09	Seattle
281	CUST05050	Kafka Streaming Intro	1	399.00	399.00	2025-02-09	Houston
282	CUST00743	Python for Data Engineers	3	289.99		2025-12-18	Seattle
283	CUST07735	Spark Intro	3	356.94	1070.82	2025-02-22	Austin
284	CUST06888	Data Warehousing 101	4	275.30	1101.20	04/04/2025	Dallas
285	CUST08836	Hadoop Basics	6	63.01	378.06	2024-12-22	Dallas
286	CUST03649	Data Governance 101	1	220.10	220.10	2024/01/24	San Diego
287	CUST08716	Python for Data Engineers	2	289.99	579.98	2024-09-10	Austin
288	CUST01849	Spark Intro	6	356.94		05-03-2025	Houston
289	CUST00551	AWS Foundations	5	310.45		19-11-2025	Seattle
290	CUST07192	Cloud Fundamentals	5	199.50	997.50	08/10/2024	Seattle
291	CUST03837	Data Governance 101	6	220.10	1320.60	2025-08-12	Atlanta
292	CUST08541	Cloud Fundamentals	4	199.50	798.00	2024-11-03	Denver
293	CUST08121	Spark Intro	3	356.94	1070.82	20-10-2025	Atlanta
294	CUST04914	Python for Data Engineers	2	289.99	579.98	2025-07-04	Boston
295	CUST07587	GenAI for Engineers	1	349.50		2025-07-29	Philadelphia
296	CUST03979	SQL for Analysts	2	149.00		04-12-2024	San Diego
297	CUST03121	Spark Intro	3	356.94	1070.82	21-01-2025	Seattle
298	CUST03556	AWS Foundations	2	310.45	620.90	2024-12-06	Houston
299	CUST01923	Kafka Streaming Intro	4	399.00	1596.00	05-09-2024	Miami
300	CUST05270	Airflow Fundamentals	3	265.75	797.25	2025-01-24	Phoenix
301	CUST08148	AWS Foundations	1	310.45	310.45	04/25/2025	Atlanta
302	CUST06782	Spark Intro	5	356.94	1784.70	14-08-2024	Houston
303	CUST06842	SQL for Analysts	2	149.00	298.00	2024-07-19	Dallas
304	CUST05531	SQL for Analysts	4	149.00	596.00	19-10-2025	San Diego
305	CUST02774	Hadoop Basics	6	63.01	378.06	2025-07-13	Seattle
306	CUST01218	Data Governance 101	6	220.10	1320.60	02/19/2024	Philadelphia
307	CUST01114	Kafka Streaming Intro	2	399.00	798.00	2024-01-10	San Diego
308	CUST07917	NoSQL Essentials		199.99		2024-01-17	Philadelphia
309	CUST04502	ETL Pipelines 101	3	245.60	736.80	2024-01-18	Philadelphia
310	CUST01754	GenAI for Engineers	1	349.50	349.50	2025-06-20	Miami
311	CUST05808	SQL for Analysts	4	149.00	596.00	2024-03-21	Dallas
312	CUST03701	SQL for Analysts	6	149.00	894.00	23-03-2024	Seattle
313	CUST07799	Spark Intro	6	356.94	2141.64	10-01-2024	San Francisco
314	CUST05428	Data Modeling Basics	1	178.25	178.25	06/24/2025	Boston
315	CUST07791	SQL for Analysts	1	149.00	149.00	17-03-2024	Portland
316	CUST00540	Hadoop Basics	3	63.01	189.03	2024/01/17	Austin
317	CUST06526	GenAI for Engineers	1	349.50	349.50	2024-11-02	Boston
318	CUST08857	Data Warehousing 101	4	275.30	1101.20	05/23/2024	San Francisco
319	CUST00880	Big Data Essentials	4	421.85	1687.40	08/25/2024	Atlanta
320	CUST06500	Airflow Fundamentals	3	265.75	797.25	31-01-2024	San Diego
321	CUST06151	Python for Data Engineers	2	289.99	579.98	27-11-2025	Dallas
322	CUST04038	Kafka Streaming Intro	1	399.00	399.00	2024-03-25	Dallas
323	CUST06384	Data Warehousing 101	3	275.30	825.90	2024-04-19	Chicago
324	CUST01675	Hadoop Basics	1	63.01		2024-07-10	Philadelphia
325	CUST01525	Data Modeling Basics	5	178.25	891.25	11/28/2024	Houston
326	CUST01388	Kafka Streaming Intro	5	399.00	1995.00	05-09-2024	Denver
327	CUST04406	SQL for Analysts	3	149.00	447.00	2025-05-19	Denver
328	CUST07934	Airflow Fundamentals	1	265.75	265.75	2025-01-04	Boston
329	CUST03204	AWS Foundations	1	310.45	310.45	2024-05-18	Dallas
330	CUST05400	AWS Foundations	3	310.45	931.35	03/16/2025	Austin
331	CUST03291	AWS Foundations	3	310.45	931.35	2024/06/30	Atlanta
332	CUST08045	Data Modeling Basics	2	178.25	356.50	2024-11-29	Dallas
333	CUST03274	Data Modeling Basics	5	178.25	891.25	03-07-2024	Houston
334	CUST03435	AWS Foundations	3	310.45		2025-12-10	Philadelphia
335	CUST04962	Cloud Fundamentals	3	199.50		2025-11-05	Philadelphia
336	CUST07852	Data Modeling Basics	4	178.25	713.00	2025-07-01	Philadelphia
337	CUST05891	Kafka Streaming Intro	5	399.00	1995.00	31-08-2025	San Francisco
338	CUST05817	Hadoop Basics	6	63.01	378.06	2025-09-19	Dallas
339	CUST07053	Big Data Essentials	1	421.85	421.85	2024-04-10	Boston
340	CUST08200	Hadoop Basics	3	63.01	189.03	2024-01-26	Chicago
341	CUST01902	Data Governance 101	6	220.10	1320.60	2024-05-25	Atlanta
342	CUST07913	Data Warehousing 101	4	275.30	1101.20	2024-04-09	San Diego
343	CUST01886	Spark Intro	3	356.94	1070.82	2025-10-25	Denver
344	CUST08455	Hadoop Basics	5	63.01	315.05	2024-06-12	Philadelphia
345	CUST06637	NoSQL Essentials	2	199.99	399.98	09-07-2024	Philadelphia
346	CUST03233	AWS Foundations	5	310.45	1552.25	2025-03-15	Miami
347	CUST01026	Data Modeling Basics	1	178.25		2025-07-03	Atlanta
